TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,555625732,555625732,1,Southeast Bahamas Marine Managed Area,Southeast Bahamas Marine Managed Area,Marine Managed Area,Marine Managed Area,National,Not Reported,Not Applicable,2,0,24449.6062496481,24527.7384265,24458.6063200754,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,12798,12798,1,Jennifer Bay - Deep Well Marine Park,Jennifer Bay - Deep Well (Cayman Brac),Marine Park,Marine Park,National,II,Not Applicable,1,0.705957708262,0.458625808133545,0.705957708262,0.709903432985914,All,0.705957708262,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,555624810,555624810_E,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Special Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,109563,109516.228145748,109563,109516.228655238,All,109563,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,12787,12787,1,West Bay Bight Marine Park,North West Point - West Bay Cemetery (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,1.66441666577,1.44565201163443,1.66441666577,1.67439451268521,All,1.66441666577,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,555625730,555625730,1,Cay Sal Marine Managed Area,Cay Sal Marine Managed Area,Marine Managed Area,Marine Managed Area,National,Not Reported,Not Applicable,2,0,16839.7748074005,16771.5017051,16854.6226514684,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,478191,478191,1,South Orkney Islands Southern Shelf Marine Protected Area,South Orkney Islands Southern Shelf Marine Protected Area,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,93818.88,93274.160640986,93818.88,93274.160640986,All,93818.88,Designated,2010,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),Not Reported,Not Reported,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_A,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (i),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,1,1555851,973704.663970899,1555851,1521512.67446816,All,1555851,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_B,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (ii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,74765,74472.7695629674,74765,74472.7695629674,All,74765,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_C,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - General Protection Zone (iii),Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,21098,22643.580701401,21098,22644.9948320589,All,21098,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555624810,555624810_D,1,Ross Sea Region Marine Protected Area,Ross Sea Region Marine Protected Area - Krill Research Zone,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),Regional,Not Reported,Not Applicable,2,328750,326507.190744376,328750,331890.979683477,All,328750,Designated,2017,Joint governance,Not Reported,Commission for the Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),https://www.ccamlr.org/en/measure-91-05-2016,State Verified,832,Not Reported,ABNJ,ABNJ,Not Applicable,Not Applicable
Polygon,555599908,555599908,1,Karaburun-Sazan Marine National Park,Karaburun-Sazan Marine National Park,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,124.28,114.476324671275,125.27,124.352582953408,Not Reported,0,Adopted,2016,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,ALB,ALB,Not Applicable,Not Applicable
Polygon,555587053,555587053,1,Swatch of no ground Marine Protected Area,Swatch of no ground Marine Protected Area,Marine Park,Marine Park,National,Not Reported,Not Applicable,2,1738,1728.23163959971,1738,1728.23163624119,Not Reported,0,Designated,2014,Not Reported,Not Reported,Forest Department,Not Reported,State Verified,1797,Not Reported,BGD,BGD,Not Applicable,Not Applicable
Polygon,555587044,555587044,1,Marine Reserve,Marine Reserve,Marine Reserve,Marine Reserve,National,Not Reported,Not Applicable,2,698,1636.03047516326,698,1635.83228755162,Not Reported,0,Designated,2000,Not Reported,Not Reported,Fisheries Department,Not Reported,State Verified,1797,Not Reported,BGD,BGD,Not Applicable,Not Applicable
Polygon,555592584,555592584,1,South Berry Islands Marine Reserve,South Berry Islands Marine Reserve,Marine Reserve,Marine Reserve,National,Not Reported,Not Applicable,2,254.96908698,203.053420557282,207.583400552,208.085276687155,Part,0,Designated,2008,Not Reported,Not Reported,Department of Marine Resources,http://cep.unep.org/caribbeanmpa/south-berry-island-marine-reserve,State Verified,1859,BH-BY,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592586,555592586,1,Jewfish Cay Marine Reserve,Jewfish Cay Marine Reserve,Marine Reserve,Marine Reserve,National,Not Reported,Not Applicable,2,0,121.19864933429,126.264523989,126.550184070649,All,126.550182746,Designated,2009,Not Reported,Not Reported,Department of Marine Resources,http://cep.unep.org/caribbeanmpa/mpa/Exuma_Cays_Land_and_Sea_Park/?searchterm=exuma,State Verified,1859,BS-EX,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592587,555592587,1,Crab Cay Marine Reserve,Crab Cay Marine Reserve,Fishery Reserve,Fishery Reserve,National,Not Reported,Not Applicable,1,4.34697896599,3.03691012414433,3.45525855506,3.46291671919157,All,3.46291669543,Designated,2010,Not Reported,Not Reported,Department of Marine Resources,Not Reported,State Verified,1859,BS-CO,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592841,555592841,1,No Name Cay Marine Reserve,No Name Cay Marine Reserve,Fishery Reserve,Fishery Reserve,National,Not Reported,Not Applicable,1,4.90680924504,3.31058979504191,3.90414888964,3.91289868088677,Not Reported,0,Designated,2010,Not Reported,Not Reported,Department of Marine Resources,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592582,555592582,1,Andros Northern Marine Park,Andros Northern Marine Park,National Park,National Park,National,II,Not Applicable,2,0,16.7129176351279,16.6772838367,16.7129176351279,Not Reported,0,Designated,2002,Government-delegated management,State,Bahamas National Trust,http://www.bnt.bs//_m1731/The-National-Parks-of-The-Bahamas/North-and-South-Marine-Parks,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,555592583,555592583,1,Andros Southern Marine Park,Andros Southern Marine Park,National Park,National Park,National,II,Not Applicable,2,0,11.6552955944069,11.7151305774,11.7411000036442,Not Reported,0,Designated,2002,Government-delegated management,State,Bahamas National Trust,http://www.bnt.bs//_m1731/The-National-Parks-of-The-Bahamas/North-and-South-Marine-Parks,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,61791,61791,1,Green Cay Marine Park,Green Cay Marine Park,Marine Park,Marine Park,National,Not Reported,Not Applicable,1,0,8.26193875750653,10.9351161765,10.9596416728168,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,555625723,555625723,1,Southwest New Providence Marine Managed Area,Southwest New Providence Marine Managed Area,Marine Managed Area,Marine Managed Area,National,Not Reported,Not Applicable,2,0,70.9789766291269,73.8395555293,74.006050464213,Not Reported,0,Designated,2015,Not Reported,State,Not Yet Designated,Not Reported,State Verified,1859,Not Reported,BHS,BHS,Not Applicable,Not Applicable
Polygon,12799,12799,1,Bloody Bay Marine Park,Bloody Bay - Jackson Point (Little Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,2.04313969389,1.18495278973813,2.04313969389,2.0549049892547,All,2.04313969389,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,303905,303905,1,George Town Marine Park,Old Pageant Beach - Sand Cay Apartments (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,2.47119341992,1.88437283089803,2.47119341992,2.48603882984838,All,2.47119341992,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12797,12797,1,Dick Sessingers Bay - Beach Point Marine Park,Dick Sessingers Bay - Beach Point (Cayman Brac),Marine Park,Marine Park,National,II,Not Applicable,2,2.18023739014,2.06549759085818,2.18023739014,2.19253501162361,All,2.18023739014,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12800,12800,1,Preston Bay Marine Park,Preston Bay - Main Channel MP (Little Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,1.01424665658,0.819666574152732,1.01424665658,1.02009932272164,All,1.01424665658,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12789,12789,1,Rum Point Marine Park,Bowse Bluff - Rum Point (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,0.477635422862,0.413988599227152,0.477635422862,0.480509993961466,All,0.477635422862,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
Polygon,12788,12788,1,Seven Mile Beach Marine Park,Victoria House- Treasure Island Resort (Grand Cayman),Marine Park,Marine Park,National,II,Not Applicable,1,5.36139248844,4.83884943679179,5.36139248844,5.39356961817773,All,5.36139248844,Designated,1986,Federal or national ministry or agency,State,"Department of Environment, Cayman Islands Government",Not Reported,State Verified,391,KY,GBR,CYM,Not Applicable,Not Applicable
